,SERIAL_NUM,AUM_M13
139424,1,235335
40648,2,1348098
13650,3,4627
135646,4,111021
89577,5,9931
12552,6,1346999
132735,7,18992
98773,8,765660
105542,9,293685
125357,10,387582
147322,11,101219
74954,12,135223
53115,13,129824
11475,14,9
148997,15,74188
91446,16,29407
142096,17,12333
17633,18,588152
137154,19,3801
111537,20,218980
87692,21,1497339
98902,22,29179
92538,23,638866
48162,24,63873
132025,25,9862
94516,26,651858
67793,27,3681775
35267,28,312417
116622,29,598913
92831,30,1205235
83437,31,0
4048,32,0
116151,33,4381
47896,34,104
62761,35,1606
4232,36,149
144177,37,54376
89325,38,0
43872,39,979751
15716,40,685
119165,41,387266
49485,42,753878
113507,43,345124
67158,44,9932
30336,45,806572
100527,46,203
65729,47,219083
144018,48,815
100365,49,1112951
83130,50,119008
10304,51,462998
39661,52,12130
83278,53,71197
16116,54,71953
99484,55,150
128026,56,1486070
66313,57,2916
103331,58,28621
98438,59,13061
135015,60,37726
79044,61,1112407
104730,62,21466
121838,63,1172483
37216,64,409158
147790,65,30008
23279,66,121502
486,67,55883
140355,68,492087
76866,69,2142772
97716,70,1715
110008,71,403098
141195,72,911716
117547,73,175569
76931,74,116209
126635,75,17855
86569,76,951734
53138,77,3655
91128,78,14096
103624,79,10333
112554,80,76363
74046,81,124
128068,82,1439521
45752,83,76871
31225,84,6772
73930,85,17762
116941,86,13739
14321,87,3045
63768,88,15833
23053,89,129712
9343,90,47521
73645,91,53422
6767,92,336447
93757,93,11995
102120,94,23745
98981,95,2158280
20158,96,590134
7957,97,845843
89037,98,124109
44722,99,6064
107200,100,1660468
92672,101,1053484
108526,102,2537
8609,103,24
39518,104,60
18218,105,146
147951,106,294664
26536,107,33973
101225,108,996
60120,109,31075
89571,110,51024
90311,111,1067425
85504,112,927826
148295,113,34860
16950,114,43044
52101,115,13248
838,116,12477
3995,117,1281062
95170,118,66172
65930,119,2831980
109728,120,42523
93797,121,126477
141150,122,1348486
57524,123,563697
116204,124,120783
55536,125,39252
79695,126,561016
38044,127,1336856
53207,128,96899
105750,129,176300
23181,130,18089
37088,131,222152
118614,132,29693
125653,133,3973
131687,134,22408
97758,135,1081096
48351,136,16595
57286,137,1056648
123323,138,34409
133816,139,27837
18338,140,94293
136396,141,2277891
15517,142,60525
51538,143,193452
63526,144,429786
29640,145,46993
47641,146,899503
77196,147,274575
38116,148,286
64417,149,13870
88342,150,1351
2006,151,31010
45231,152,25521
24077,153,11160
79961,154,23120
37410,155,3035667
56908,156,96260
145671,157,41823
95718,158,52457
80204,159,520530
46015,160,7424
137734,161,335690
560,162,339088
77727,163,24642
38201,164,43221
115077,165,43458
128238,166,376244
100822,167,1405246
128130,168,66458
147636,169,803423
5094,170,456449
100443,171,89819
118876,172,75795
119861,173,51002
95594,174,326367
21662,175,7510
80288,176,5125
125911,177,201379
62267,178,925520
13108,179,0
112561,180,23255
30309,181,4227372
9484,182,125221
126035,183,203426
55959,184,365667
137835,185,805023
104808,186,5
2898,187,36066
32542,188,198711
97248,189,63284
69242,190,41454
112019,191,731844
140772,192,748211
44095,193,13918
142223,194,71882
108182,195,351585
137594,196,18047
113899,197,63373
128593,198,10722
125317,199,174555
129528,200,7345
26245,201,57
76527,202,100
103901,203,77014
17779,204,105981
74572,205,83752
107223,206,924361
111175,207,13516
33619,208,1626
1045,209,319307
71915,210,3348
57415,211,0
73841,212,36568
88897,213,84
147965,214,17292
55783,215,1587993
36970,216,19187
22983,217,327375
124595,218,112312
146575,219,105025
125541,220,757164
36096,221,142
135677,222,173860
72447,223,175
22273,224,25812
79937,225,15333
49457,226,908120
3753,227,17131
73219,228,23866
143966,229,729759
148883,230,25235
124402,231,11478
49362,232,599418
43410,233,19471
93675,234,222461
32002,235,1090917
10761,236,2780
75843,237,216801
44482,238,638501
148330,239,37583
5538,240,554393
59947,241,25109
5199,242,83949
6586,243,17444
97983,244,199894
52646,245,579899
54230,246,164034
112735,247,963512
904,248,19669
29185,249,1175853
125484,250,38789
60073,251,60163
142595,252,939654
2143,253,152455
47033,254,36947
115029,255,255990
85619,256,14794
15103,257,184143
121054,258,594
35304,259,40422
57488,260,3024835
46241,261,70907
77310,262,2864
116416,263,688
96633,264,1062941
2925,265,0
129032,266,32174
67975,267,556911
134036,268,12072
109970,269,676857
110827,270,44970
1121,271,159310
35123,272,329772
61479,273,23810
101911,274,117386
12815,275,49333
50541,276,586952
41062,277,1251622
33983,278,483675
97719,279,489551
41231,280,188631
41704,281,521527
30868,282,37399
91768,283,367053
45435,284,8455
98569,285,3052
51767,286,115909
143193,287,1634
68973,288,1099099
68693,289,6993
483,290,19502
82850,291,24151
37671,292,10528
69981,293,263894
9468,294,114440
105434,295,65973
12762,296,333084
64719,297,34811
52736,298,299988
11808,299,1457288
130823,300,101
148917,301,199150
134051,302,1300435
145509,303,206131
118167,304,1278023
112747,305,39384
17746,306,106409
30680,307,57335
134071,308,178029
43238,309,310860
128879,310,39966
23307,311,619
56991,312,798136
69200,313,79894
115709,314,461938
82827,315,94752
91866,316,1786
110475,317,1574898
106694,318,64013
42639,319,651038
124328,320,89931
46274,321,17796
25062,322,56174
54695,323,19100
2481,324,88641
68873,325,240214
66368,326,24494
63881,327,384518
92427,328,1541898
19969,329,31906
47259,330,927212
55122,331,138674
54639,332,3015
98629,333,148384
135465,334,575281
53703,335,1745119
2252,336,10472
149596,337,318057
6833,338,7
109731,339,16568
116168,340,221889
54295,341,27055
49222,342,1349512
10511,343,530867
49982,344,109135
46316,345,518559
94732,346,7612
89743,347,53070
24527,348,275756
84471,349,53809
102350,350,95549
119471,351,338660
6579,352,360322
28008,353,1051626
75804,354,17851
8,355,2195
144231,356,167653
60068,357,480
149802,358,236062
60124,359,113751
130672,360,1572
90126,361,2523077
148989,362,3544
46599,363,527379
4871,364,9107
17285,365,48855
22489,366,158175
133246,367,5173
28239,368,402419
129130,369,13645
142507,370,117
122186,371,3868
74255,372,316481
62656,373,464204
17378,374,227
135158,375,42196
101115,376,303974
110605,377,4491
67172,378,227374
83236,379,1313151
70429,380,1849
13488,381,894446
96227,382,26857
148755,383,3115
100562,384,40963
113936,385,322866
101677,386,473769
131346,387,8721
74585,388,1602568
30084,389,65057
56306,390,1409264
103443,391,16634
8167,392,181189
87409,393,1498410
113562,394,17388
17968,395,484
3804,396,41097
110107,397,47543
149618,398,215106
127178,399,2097415
74818,400,368746
68733,401,5242
2753,402,95233
12943,403,48684
104628,404,1436038
