,bankruptcy
12,0
18,0
19,0
22,0
25,0
31,0
34,0
37,0
38,0
43,0
46,0
47,0
54,1
55,1
57,1
58,0
61,0
64,0
75,0
77,0
89,0
102,0
111,0
112,0
119,0
129,0
133,0
137,0
144,0
147,0
151,0
152,0
153,0
156,0
161,0
162,0
168,0
169,0
170,0
176,0
177,0
182,0
183,0
185,1
193,0
194,0
205,0
206,0
216,0
223,0
232,1
234,1
237,0
243,0
249,0
252,0
255,0
275,0
280,0
283,0
292,0
298,0
304,0
306,0
311,0
313,0
317,0
322,0
323,0
325,0
344,0
348,0
350,0
351,0
352,0
357,0
362,0
367,0
374,0
375,0
378,0
383,0
391,0
401,0
437,0
440,0
456,0
459,0
467,0
472,0
486,0
487,0
488,0
492,0
501,0
505,0
507,0
510,0
512,0
519,0
521,0
530,0
536,0
541,0
553,0
558,0
559,0
563,0
567,0
570,0
573,0
575,0
580,0
592,0
595,0
596,0
602,0
622,0
628,0
631,0
632,0
638,0
645,1
647,0
650,0
651,0
659,0
672,0
675,0
676,0
680,0
685,0
688,0
690,0
694,0
697,0
699,0
710,0
716,0
718,0
719,0
724,0
734,0
741,0
742,0
748,0
750,0
755,0
756,0
759,0
762,0
770,0
778,0
780,0
784,0
785,0
798,0
813,0
816,0
817,0
825,0
828,0
830,0
832,0
833,0
834,0
843,0
851,0
853,0
856,0
857,0
862,0
864,0
866,0
867,0
868,0
870,1
876,0
877,0
882,0
892,0
904,0
905,0
908,0
909,0
911,0
922,0
924,0
926,0
927,0
930,0
931,0
935,0
937,0
939,0
944,0
948,1
956,0
957,0
958,0
959,0
960,0
965,0
969,0
981,0
987,0
988,0
994,0
996,0
997,0
999,0
1010,0
1012,0
1014,0
1020,0
1023,0
1024,0
1025,1
1027,0
1036,0
1038,0
1041,0
1044,0
1045,0
1046,0
1049,0
1051,0
1054,0
1055,0
1057,0
1061,0
1066,0
1076,0
1077,0
1082,0
1084,0
1091,0
1100,0
1102,0
1107,0
1108,0
1112,0
1116,0
1125,0
1126,0
1134,0
1135,0
1142,0
1143,0
1144,0
1145,0
1146,0
1151,0
1155,0
1156,0
1157,0
1175,0
1182,0
1191,0
1193,0
1195,0
1200,0
1212,1
1215,1
1216,0
1218,0
1226,0
1235,0
1236,0
1242,0
1243,0
1245,0
1247,1
1249,0
1264,0
1266,0
1267,0
1273,0
1275,0
1280,0
1283,0
1284,0
1297,0
1303,0
1307,0
1318,0
1319,0
1321,0
1330,0
1334,0
1335,0
1346,0
1347,0
1356,0
1358,1
1360,0
1378,0
1379,0
1385,0
1390,0
1391,0
1394,0
1400,0
1404,0
1409,0
1429,0
1430,0
1431,0
1434,0
1437,0
1446,1
1457,0
1459,0
1463,0
1467,0
1481,0
1486,0
1489,0
1490,0
1493,0
1496,0
1502,0
