,Run_mean
10,83.94
12,118.275
16,77.305
26,75.4625
29,69.82000000000001
30,74.0775
31,75.95
34,62.75750000000001
35,62.735
37,74.34249999999999
39,74.70750000000001
42,63.635
54,54.92
58,53.1925
64,91.0275
76,95.85999999999999
82,71.2825
86,70.8025
94,74.4975
96,71.6975
102,62.975
107,62.417500000000004
108,71.96
111,73.605
113,55.62
116,58.947500000000005
121,56.942499999999995
128,115.6275
133,71.92999999999999
134,83.08
137,79.91749999999999
140,118.405
144,73.28250000000001
147,53.5525
155,53.802499999999995
158,64.41
159,56.935
164,90.045
167,72.83
168,92.0275
169,81.7375
181,66.8
183,57.045
189,67.74
191,57.0075
193,79.195
200,117.59750000000001
204,118.0925
206,74.47749999999999
213,65.7425
220,79.77250000000001
221,70.6375
234,77.27000000000001
236,96.625
237,94.73
239,82.8
246,66.6475
247,58.464999999999996
251,58.662499999999994
254,68.465
258,72.675
262,74.86
264,117.73
266,72.62
275,66.2675
278,74.6725
281,82.74000000000001
284,95.605
293,119.7875
294,94.8675
304,112.035
322,94.80250000000001
335,104.09
337,94.445
340,109.2275
343,70.6125
347,68.05
349,95.53750000000001
354,94.80250000000001
356,131.1325
358,94.845
359,85.10249999999999
369,87.0225
370,70.7
373,87.02000000000001
376,112.0
378,70.67999999999999
381,87.0925
388,135.4375
391,85.11
396,140.9325
402,69.565
403,61.144999999999996
413,84.18
416,131.0825
420,131.0875
423,87.88
427,84.805
431,88.22250000000001
433,118.19749999999999
437,119.785
443,84.80000000000001
444,140.92
446,87.15
450,85.6075
453,110.67750000000001
462,87.12
470,87.6275
472,140.9525
476,141.04000000000002
484,131.0725
489,93.88499999999999
493,96.33999999999999
494,123.055
500,110.01
502,94.8775
504,110.04499999999999
509,67.74249999999999
519,96.565
520,140.79749999999999
521,93.91000000000001
524,142.695
527,103.51249999999999
534,94.845
536,111.4675
539,77.8775
548,131.13250000000002
550,120.9575
556,130.9975
568,140.6275
572,142.8475
573,87.2575
589,96.35249999999999
591,90.065
593,67.78
595,61.085
598,88.0275
604,110.07249999999999
624,111.47
625,67.745
627,61.082499999999996
633,67.73
641,84.645
644,131.04250000000002
652,131.0925
653,87.265
654,112.84
660,142.7875
663,76.73
668,142.905
680,163.715
682,123.9775
689,124.84250000000002
690,123.95500000000001
695,91.33500000000001
697,124.8075
698,123.99249999999999
699,91.295
704,110.14999999999999
706,83.9175
707,89.92750000000001
708,114.195
709,90.8775
710,85.0175
719,112.5375
720,74.5175
721,66.0075
728,79.905
737,77.90499999999999
738,68.955
741,86.11999999999999
743,88.5825
744,77.33250000000001
749,87.6225
751,89.28750000000001
755,57.1275
756,71.17999999999999
761,62.2425
771,95.67000000000002
773,92.7925
775,102.6325
777,90.96499999999999
785,66.4325
786,76.8325
787,70.1825
790,76.9
792,83.4
794,79.8
796,83.36749999999999
797,71.66
798,80.3475
799,83.96
807,86.84249999999999
809,74.9275
824,67.45750000000001
826,55.86
828,67.39
834,84.22000000000001
836,114.8725
838,85.03
840,116.76750000000001
843,81.61
846,89.825
847,81.58500000000001
849,62.89
854,64.8725
861,63.2375
869,72.29999999999998
872,92.74
875,82.0975
876,93.66499999999999
878,90.10749999999999
882,65.47749999999999
887,59.352500000000006
888,71.85249999999999
889,63.82
892,71.5
894,66.9325
906,72.66499999999999
909,100.015
918,64.8475
930,73.1825
931,79.5825
932,89.695
941,100.7575
943,88.00500000000001
944,75.035
952,83.0125
956,82.99249999999999
960,110.5125
962,72.2475
964,114.41749999999999
965,70.5325
968,117.05250000000001
977,71.65
979,66.83500000000001
981,72.1325
983,66.8825
985,79.675
987,66.8725
992,137.3275
997,121.54249999999999
1000,148.14
1001,124.6225
1005,128.0775
1013,101.515
1019,70.955
1022,70.92
1023,80.3025
1029,121.53750000000001
1032,148.7
1033,124.60249999999999
1035,99.465
1042,71.985
1043,70.9075
1044,115.3375
1045,99.19
1049,98.15
1055,79.8125
1058,98.82000000000001
1063,88.9925
1064,148.3425
1075,62.1725
1084,111.4075
1088,138.66
1089,110.495
1098,103.52250000000001
1105,93.42499999999998
1106,71.8725
1114,71.895
1117,91.46000000000001
1118,72.265
1125,121.5475
1126,90.065
1127,92.6575
1129,124.6025
1146,89.71249999999999
1151,92.805
1156,137.385
1158,90.085
1166,89.69500000000001
1180,148.74
1183,81.29
1185,95.14
1186,120.7875
1187,99.14750000000001
1190,123.885
1191,101.92750000000001
1192,141.125
1196,145.4725
1198,127.83749999999999
1200,109.465
1203,71.34
1204,109.4975
1205,70.3075
1207,71.32499999999999
1210,100.53
1215,83.395
1219,99.17500000000001
1221,97.285
1223,101.85
1225,97.19500000000001
1227,99.88749999999999
1230,127.69250000000001
1241,70.29
1245,70.2775
1262,127.72500000000001
1263,91.6275
1284,145.3025
1289,97.19250000000001
1292,145.51500000000001
1296,109.4425
1298,90.80499999999999
1306,90.785
1308,109.5475
1311,63.4575
1316,144.6025
1318,116.2725
1324,144.76500000000001
1326,116.195
1333,70.275
1335,63.43000000000001
1336,111.61999999999999
1339,63.480000000000004
1342,91.32499999999999
1355,82.095
1359,82.05250000000001
1365,88.6
1366,116.295
1379,108.9575
1380,165.145
1382,129.3475
1384,165.1025
1387,111.1925
1394,129.36
1395,108.9475
1397,131.305
1400,168.375
1403,111.2025
1404,168.375
1412,165.33249999999998
1413,124.0725
1415,100.5775
1417,123.985
1421,124.0325
1422,131.24
1432,168.19250000000002
1434,131.26000000000002
1435,103.7175
1440,164.9725
1444,165.01000000000002
1450,121.75
1455,104.1325
1456,168.315
1468,168.27
1469,131.33999999999997
1471,104.13749999999999
1474,121.6925
1481,123.99
1493,124.07499999999999
1499,92.11
1500,168.26999999999998
1506,63.95
1508,66.78
1510,62.224999999999994
1514,63.8875
1515,65.8775
1516,68.7825
1519,73.595
1521,49.43
1523,50.8
1525,45.8025
1532,69.44
1533,49.585
1534,56.962500000000006
1537,45.8725
1546,56.5925
1550,57.4225
1551,43.4675
1556,63.645
1564,63.92250000000001
1567,62.362500000000004
1569,46.18249999999999
1570,48.7875
1571,41.35
1574,50.48
1576,46.47500000000001
1579,41.3025
1582,50.5175
1584,45.8225
1585,40.8975
1592,45.675
1593,50.4475
1599,32.29
1601,71.145
1607,70.86500000000001
1609,69.11000000000001
1612,71.7525
1618,55.9275
1620,60.0925
1621,47.59
1624,60.97
1625,48.665
1627,50.449999999999996
1631,50.905
1632,52.222500000000004
1634,56.9675
1637,46.222500000000004
1639,43.0525
1641,52.445
1645,52.455
1647,43.495
1651,63.85
1657,67.78
1658,63.13249999999999
1660,62.1275
1661,66.3125
1665,47.127500000000005
1669,45.4675
1670,50.4125
1673,45.55499999999999
1675,41.39
1678,50.3675
1679,39.9875
1685,40.7
1690,51.115
1697,51.6225
1699,57.3975
1702,66.175
1707,54.550000000000004
1714,55.89
1717,39.794999999999995
1726,55.08
1729,47.18000000000001
1734,57.1775
1735,46.82
1736,65.6875
1743,46.865
1746,47.4525
1748,44.18
1750,49.2275
1753,41.395
1758,49.4625
1775,56.295
1782,54.36750000000001
1783,41.14
1789,41.5925
1795,36.93749999999999
1799,46.8
1803,37.0425
1804,61.015
1805,53.285
1809,40.144999999999996
1816,44.962500000000006
1818,47.705000000000005
1821,40.387499999999996
1822,49.417500000000004
1828,70.05499999999999
1830,65.61500000000001
1837,48.237500000000004
1839,49.39000000000001
1840,66.685
1841,41.3025
1844,64.09
1854,58.497499999999995
1855,40.9475
1862,66.845
1863,50.995000000000005
1867,46.14
1873,46.065000000000005
1876,62.2075
1877,46.477500000000006
1887,41.105
1888,73.505
1891,67.785
1894,60.9475
1896,70.1375
1897,66.875
1898,63.79
1905,47.260000000000005
1914,55.65749999999999
1920,48.477500000000006
1922,54.47999999999999
1925,43.94
1928,52.00749999999999
1932,51.87
1933,50.4675
1937,67.815
1940,67.6825
1962,52.199999999999996
1963,44.75
1971,36.35
1974,54.9975
1978,52.864999999999995
1981,50.7875
1982,52.8125
1988,67.96
1995,51.41
1998,58.515
2002,51.92
2003,35.807500000000005
2006,52.615
2007,36.089999999999996
2013,41.25
2014,50.1125
2016,69.54499999999999
2018,62.9775
2026,63.6525
2029,53.322500000000005
2030,60.362500000000004
2033,40.8825
2034,54.42
2036,56.832499999999996
2044,56.7725
2048,69.41000000000001
2051,39.385000000000005
2056,68.215
2061,46.065
2062,57.8775
2064,69.015
2067,38.92999999999999
2072,67.6675
2073,43.5625
2074,63.3875
2076,67.565
2084,116.2525
2085,79.2625
2089,84.44500000000001
2104,66.66499999999999
2105,63.8375
2106,60.825
2107,50.195
2112,67.765
2116,66.9425
2119,59.9675
2121,74.37
2125,71.3075
2130,46.2725
2134,48.025
2142,48.894999999999996
2143,38.9625
2145,88.4075
2146,70.61
2153,88.30499999999999
2158,72.35749999999999
2164,75.93
2169,66.325
2175,53.4225
2178,58.772499999999994
2188,76.9975
2189,73.39750000000001
2190,59.415000000000006
2192,62.12
2197,54.29
2198,48.232499999999995
2204,62.06999999999999
2209,72.31750000000001
2211,60.975
2215,60.0225
2216,113.955
2220,116.44250000000001
2228,65.46
2229,55.980000000000004
2242,56.8975
2244,67.0025
2247,47.0325
2248,67.7
2253,62.525
2255,47.8625
2263,32.47
2268,63.35750000000001
2269,48.082499999999996
2270,47.9975
2271,32.46
2272,89.775
2279,61.214999999999996
2283,61.3775
2285,74.83
2292,74.075
2293,58.13
2296,75.625
2297,59.8
2300,75.2575
2301,59.795
2303,45.885
2306,57.505
2311,47.834999999999994
2333,48.175
2335,32.480000000000004
2336,115.31750000000001
2338,67.45
2349,67.29249999999999
2351,53.785
2355,32.475
2357,57.3275
2363,32.47
2364,67.015
2368,88.24000000000001
2373,65.9175
2374,69.31
2380,88.89750000000001
2381,68.32
2384,74.6175
2386,56.4625
2397,57.809999999999995
