,64
1030,3
613,3
2469,3
823,0
2241,1
323,2
1899,3
1596,2
2834,0
1965,0
1678,2
1121,1
1348,3
1074,3
408,3
2728,0
1834,0
474,3
1971,0
1397,3
353,2
776,2
1561,0
1444,1
789,3
1331,0
593,0
99,1
637,0
335,3
2591,1
301,3
2628,0
257,0
1146,0
2410,1
264,3
2727,3
2064,3
2738,2
113,3
449,3
93,3
2335,2
2220,1
1657,1
2882,3
1417,3
1543,0
2057,1
1110,2
2284,3
1971,3
330,1
1636,3
1978,0
118,1
5,0
2439,3
1268,1
2389,0
2259,3
582,1
815,3
1549,0
1718,2
2662,2
92,0
2792,3
1414,3
2349,1
2572,0
2056,3
1244,2
448,1
72,2
1433,0
401,0
627,0
380,1
2722,1
723,3
2616,2
149,1
1811,3
224,0
339,3
1643,3
2194,2
767,0
1145,2
2026,2
1945,3
1728,1
2447,2
919,2
1541,2
770,2
766,3
368,3
2352,2
449,2
2243,3
121,0
2563,0
523,1
18,1
467,3
1552,2
1375,2
909,2
1553,0
757,2
1952,2
544,3
131,1
412,3
1885,2
1704,0
2580,0
1930,3
2304,2
1483,0
2172,2
859,2
2767,2
2801,1
2748,0
134,0
2311,3
190,1
587,2
1180,3
2161,3
1165,2
533,2
1648,3
2337,1
988,2
1398,2
2420,1
2564,2
2290,0
2779,1
554,1
818,0
2463,1
1585,0
357,0
2471,3
1119,1
219,0
869,3
2748,1
2901,0
1932,3
2552,1
1419,3
2088,3
2404,2
170,3
1105,2
2110,3
2435,2
1387,2
607,2
851,0
1817,3
1329,3
2475,0
1904,2
2403,1
1684,2
239,3
965,1
930,2
967,3
2171,2
971,2
2162,3
2211,0
9,3
2865,1
1040,2
672,1
672,2
2888,2
28,3
1461,2
1104,2
2132,0
276,1
2457,0
2105,2
514,3
64,3
2888,3
71,3
2696,3
2859,3
1469,1
1989,2
2153,2
2147,2
2323,3
1751,2
2446,0
373,3
2523,3
2647,3
865,0
384,0
2645,1
1391,3
2228,0
1747,3
144,1
2639,3
1828,1
2718,0
854,3
529,2
459,1
2055,1
2108,1
2655,2
2567,1
2909,0
1924,2
2067,3
2235,3
1935,1
604,3
1205,1
1115,0
941,2
2021,2
418,1
1946,0
778,1
1058,1
1100,2
1263,1
1582,1
974,1
1572,2
2444,1
402,0
1884,1
1642,0
724,0
81,0
1776,0
1057,1
2702,1
2013,0
2316,0
126,1
890,1
2331,0
233,1
601,1
2438,1
1299,2
616,3
1955,3
1107,1
1949,0
212,0
1774,1
1487,1
1341,2
275,1
1618,1
1020,1
368,2
2794,2
1841,3
26,2
145,3
532,2
2370,3
2131,0
2348,0
819,3
2623,2
2054,0
1088,1
2638,0
2246,1
2785,2
1129,3
39,1
2776,3
988,0
1401,0
2414,1
2094,3
566,2
1804,2
975,2
2070,3
2700,2
1652,0
1031,0
1057,0
2579,1
703,1
7,0
183,2
2672,0
910,0
1538,2
624,1
2299,1
1198,1
863,0
1182,0
266,0
1366,3
244,3
2263,0
680,3
1151,0
1398,1
2027,1
1398,3
2788,1
2900,2
1273,1
654,0
510,2
545,1
544,2
2178,2
1914,1
1510,3
1795,2
1596,0
870,1
1074,2
2183,0
797,2
108,0
546,0
2863,3
438,1
569,0
54,0
2499,1
2424,3
2728,3
2658,0
1550,2
2123,1
779,3
2253,3
2244,2
1124,3
777,2
1939,3
963,1
1359,0
1673,3
1666,0
1662,1
468,2
756,0
1249,2
906,2
2227,3
2445,1
1605,1
2375,1
2716,3
1100,3
2776,2
2524,3
2026,0
704,1
2164,0
1594,3
288,3
709,1
1204,1
147,1
1054,2
717,1
455,3
1997,1
1308,0
1874,0
2415,0
1373,1
2673,3
349,2
2188,1
2499,2
67,1
981,1
1108,0
923,1
1446,2
88,2
2554,2
456,0
1080,3
2849,2
549,1
2607,3
972,1
1682,0
2216,1
2757,3
1750,2
620,0
2017,3
2068,0
1694,3
2137,3
2636,2
618,3
1190,2
2249,2
1012,0
2411,0
